SAMPLE_ID,DR_BETA_K,DR_BETA_U,DR_BETA_TH,DR_GAMMA_K,DR_GAMMA_U,DR_GAMMA_TH,DR_GAMMA_TOTAL,DR_TOTAL,DR_TOTAL_X
HRS7-Q,0.87,0.19,0.13,0,0,0,0.62,1.92,0.12
HRS7-F,0.87,0.19,0.13,0,0,0,0.62,1.96,0.12
